"","date","hits","keyword"
"1",2022-03-25,36,"Bolsonaro 2022"
"2",2022-03-26,47,"Bolsonaro 2022"
"3",2022-03-27,66,"Bolsonaro 2022"
"4",2022-03-28,56,"Bolsonaro 2022"
"5",2022-03-29,58,"Bolsonaro 2022"
"6",2022-03-30,36,"Bolsonaro 2022"
"7",2022-03-31,42,"Bolsonaro 2022"
"8",2022-04-01,43,"Bolsonaro 2022"
"9",2022-04-02,40,"Bolsonaro 2022"
"10",2022-04-03,49,"Bolsonaro 2022"
"11",2022-04-04,44,"Bolsonaro 2022"
"12",2022-04-05,35,"Bolsonaro 2022"
"13",2022-04-06,31,"Bolsonaro 2022"
"14",2022-04-07,35,"Bolsonaro 2022"
"15",2022-04-08,41,"Bolsonaro 2022"
"16",2022-04-09,38,"Bolsonaro 2022"
"17",2022-04-10,50,"Bolsonaro 2022"
"18",2022-04-11,27,"Bolsonaro 2022"
"19",2022-04-12,38,"Bolsonaro 2022"
"20",2022-04-13,27,"Bolsonaro 2022"
"21",2022-04-14,46,"Bolsonaro 2022"
"22",2022-04-15,64,"Bolsonaro 2022"
"23",2022-04-16,45,"Bolsonaro 2022"
"24",2022-04-17,43,"Bolsonaro 2022"
"25",2022-04-18,34,"Bolsonaro 2022"
"26",2022-04-19,43,"Bolsonaro 2022"
"27",2022-04-20,32,"Bolsonaro 2022"
"28",2022-04-21,46,"Bolsonaro 2022"
"29",2022-04-22,50,"Bolsonaro 2022"
"30",2022-04-23,43,"Bolsonaro 2022"
"31",2022-04-24,64,"Bolsonaro 2022"
"32",2022-04-25,54,"Bolsonaro 2022"
"33",2022-04-26,38,"Bolsonaro 2022"
"34",2022-04-27,43,"Bolsonaro 2022"
"35",2022-04-28,44,"Bolsonaro 2022"
"36",2022-04-29,33,"Bolsonaro 2022"
"37",2022-04-30,58,"Bolsonaro 2022"
"38",2022-05-01,79,"Bolsonaro 2022"
"39",2022-05-02,47,"Bolsonaro 2022"
"40",2022-05-03,42,"Bolsonaro 2022"
"41",2022-05-04,32,"Bolsonaro 2022"
"42",2022-05-05,41,"Bolsonaro 2022"
"43",2022-05-06,44,"Bolsonaro 2022"
"44",2022-05-07,38,"Bolsonaro 2022"
"45",2022-05-08,54,"Bolsonaro 2022"
"46",2022-05-09,41,"Bolsonaro 2022"
"47",2022-05-10,37,"Bolsonaro 2022"
"48",2022-05-11,38,"Bolsonaro 2022"
"49",2022-05-12,30,"Bolsonaro 2022"
"50",2022-05-13,39,"Bolsonaro 2022"
"51",2022-05-14,42,"Bolsonaro 2022"
"52",2022-05-15,34,"Bolsonaro 2022"
"53",2022-05-16,48,"Bolsonaro 2022"
"54",2022-05-17,31,"Bolsonaro 2022"
"55",2022-05-18,32,"Bolsonaro 2022"
"56",2022-05-19,28,"Bolsonaro 2022"
"57",2022-05-20,39,"Bolsonaro 2022"
"58",2022-05-21,29,"Bolsonaro 2022"
"59",2022-05-22,33,"Bolsonaro 2022"
"60",2022-05-23,32,"Bolsonaro 2022"
"61",2022-05-24,35,"Bolsonaro 2022"
"62",2022-05-25,26,"Bolsonaro 2022"
"63",2022-05-26,41,"Bolsonaro 2022"
"64",2022-05-27,46,"Bolsonaro 2022"
"65",2022-05-28,44,"Bolsonaro 2022"
"66",2022-05-29,52,"Bolsonaro 2022"
"67",2022-05-30,34,"Bolsonaro 2022"
"68",2022-05-31,41,"Bolsonaro 2022"
"69",2022-06-01,37,"Bolsonaro 2022"
"70",2022-06-02,37,"Bolsonaro 2022"
"71",2022-06-03,39,"Bolsonaro 2022"
"72",2022-06-04,41,"Bolsonaro 2022"
"73",2022-06-05,35,"Bolsonaro 2022"
"74",2022-06-06,30,"Bolsonaro 2022"
"75",2022-06-07,31,"Bolsonaro 2022"
"76",2022-06-08,43,"Bolsonaro 2022"
"77",2022-06-09,38,"Bolsonaro 2022"
"78",2022-06-10,46,"Bolsonaro 2022"
"79",2022-06-11,35,"Bolsonaro 2022"
"80",2022-06-12,37,"Bolsonaro 2022"
"81",2022-06-13,30,"Bolsonaro 2022"
"82",2022-06-14,32,"Bolsonaro 2022"
"83",2022-06-15,35,"Bolsonaro 2022"
"84",2022-06-16,38,"Bolsonaro 2022"
"85",2022-06-17,46,"Bolsonaro 2022"
"86",2022-06-18,37,"Bolsonaro 2022"
"87",2022-06-19,43,"Bolsonaro 2022"
"88",2022-06-20,35,"Bolsonaro 2022"
"89",2022-06-21,29,"Bolsonaro 2022"
"90",2022-06-22,39,"Bolsonaro 2022"
"91",2022-06-23,0,"Bolsonaro 2022"
"92",2022-03-25,39,"Lula 2022"
"93",2022-03-26,32,"Lula 2022"
"94",2022-03-27,44,"Lula 2022"
