"","date","hits","keyword"
"1",2022-04-01,40,"Bolsonaro Propostas"
"2",2022-04-02,0,"Bolsonaro Propostas"
"3",2022-04-03,0,"Bolsonaro Propostas"
"4",2022-04-04,19,"Bolsonaro Propostas"
"5",2022-04-05,0,"Bolsonaro Propostas"
"6",2022-04-06,16,"Bolsonaro Propostas"
"7",2022-04-07,32,"Bolsonaro Propostas"
"8",2022-04-08,17,"Bolsonaro Propostas"
"9",2022-04-09,0,"Bolsonaro Propostas"
"10",2022-04-10,0,"Bolsonaro Propostas"
"11",2022-04-11,18,"Bolsonaro Propostas"
"12",2022-04-12,37,"Bolsonaro Propostas"
"13",2022-04-13,0,"Bolsonaro Propostas"
"14",2022-04-14,19,"Bolsonaro Propostas"
"15",2022-04-15,0,"Bolsonaro Propostas"
"16",2022-04-16,0,"Bolsonaro Propostas"
"17",2022-04-17,0,"Bolsonaro Propostas"
"18",2022-04-18,0,"Bolsonaro Propostas"
"19",2022-04-19,0,"Bolsonaro Propostas"
"20",2022-04-20,0,"Bolsonaro Propostas"
"21",2022-04-21,0,"Bolsonaro Propostas"
"22",2022-04-22,42,"Bolsonaro Propostas"
"23",2022-04-23,0,"Bolsonaro Propostas"
"24",2022-04-24,0,"Bolsonaro Propostas"
"25",2022-04-25,0,"Bolsonaro Propostas"
"26",2022-04-26,0,"Bolsonaro Propostas"
"27",2022-04-27,35,"Bolsonaro Propostas"
"28",2022-04-28,0,"Bolsonaro Propostas"
"29",2022-04-29,0,"Bolsonaro Propostas"
"30",2022-04-30,0,"Bolsonaro Propostas"
"31",2022-05-01,23,"Bolsonaro Propostas"
"32",2022-05-02,0,"Bolsonaro Propostas"
"33",2022-05-03,17,"Bolsonaro Propostas"
"34",2022-05-04,0,"Bolsonaro Propostas"
"35",2022-05-05,0,"Bolsonaro Propostas"
"36",2022-05-06,20,"Bolsonaro Propostas"
"37",2022-05-07,24,"Bolsonaro Propostas"
"38",2022-05-08,0,"Bolsonaro Propostas"
"39",2022-05-09,19,"Bolsonaro Propostas"
"40",2022-05-10,17,"Bolsonaro Propostas"
"41",2022-05-11,0,"Bolsonaro Propostas"
"42",2022-05-12,19,"Bolsonaro Propostas"
"43",2022-05-13,20,"Bolsonaro Propostas"
"44",2022-05-14,0,"Bolsonaro Propostas"
"45",2022-05-15,0,"Bolsonaro Propostas"
"46",2022-05-16,56,"Bolsonaro Propostas"
"47",2022-05-17,0,"Bolsonaro Propostas"
"48",2022-05-18,0,"Bolsonaro Propostas"
"49",2022-05-19,35,"Bolsonaro Propostas"
"50",2022-05-20,0,"Bolsonaro Propostas"
"51",2022-05-21,0,"Bolsonaro Propostas"
"52",2022-05-22,0,"Bolsonaro Propostas"
"53",2022-05-23,0,"Bolsonaro Propostas"
"54",2022-05-24,19,"Bolsonaro Propostas"
"55",2022-05-25,19,"Bolsonaro Propostas"
"56",2022-05-26,38,"Bolsonaro Propostas"
"57",2022-05-27,0,"Bolsonaro Propostas"
"58",2022-05-28,0,"Bolsonaro Propostas"
"59",2022-05-29,0,"Bolsonaro Propostas"
"60",2022-05-30,18,"Bolsonaro Propostas"
"61",2022-05-31,0,"Bolsonaro Propostas"
"62",2022-06-01,55,"Bolsonaro Propostas"
"63",2022-06-02,0,"Bolsonaro Propostas"
"64",2022-06-03,20,"Bolsonaro Propostas"
"65",2022-06-04,0,"Bolsonaro Propostas"
"66",2022-06-05,0,"Bolsonaro Propostas"
"67",2022-06-06,0,"Bolsonaro Propostas"
"68",2022-06-07,19,"Bolsonaro Propostas"
"69",2022-06-08,0,"Bolsonaro Propostas"
"70",2022-06-09,0,"Bolsonaro Propostas"
"71",2022-06-10,0,"Bolsonaro Propostas"
"72",2022-06-11,0,"Bolsonaro Propostas"
"73",2022-06-12,0,"Bolsonaro Propostas"
"74",2022-06-13,20,"Bolsonaro Propostas"
"75",2022-06-14,0,"Bolsonaro Propostas"
"76",2022-06-15,20,"Bolsonaro Propostas"
"77",2022-06-16,23,"Bolsonaro Propostas"
"78",2022-06-17,43,"Bolsonaro Propostas"
"79",2022-06-18,0,"Bolsonaro Propostas"
"80",2022-06-19,0,"Bolsonaro Propostas"
"81",2022-06-20,0,"Bolsonaro Propostas"
"82",2022-06-21,19,"Bolsonaro Propostas"
"83",2022-06-22,19,"Bolsonaro Propostas"
"84",2022-06-23,0,"Bolsonaro Propostas"
"85",2022-06-24,0,"Bolsonaro Propostas"
"86",2022-06-25,0,"Bolsonaro Propostas"
"87",2022-06-26,0,"Bolsonaro Propostas"
"88",2022-06-27,19,"Bolsonaro Propostas"
"89",2022-06-28,38,"Bolsonaro Propostas"
"90",2022-06-29,0,"Bolsonaro Propostas"
"91",2022-04-01,40,"Lula Propostas"
"92",2022-04-02,0,"Lula Propostas"
"93",2022-04-03,0,"Lula Propostas"
"94",2022-04-04,38,"Lula Propostas"
"95",2022-04-05,0,"Lula Propostas"
"96",2022-04-06,16,"Lula Propostas"
"97",2022-04-07,32,"Lula Propostas"
"98",2022-04-08,17,"Lula Propostas"
"99",2022-04-09,0,"Lula Propostas"
"100",2022-04-10,0,"Lula Propostas"
"101",2022-04-11,0,"Lula Propostas"
"102",2022-04-12,56,"Lula Propostas"
"103",2022-04-13,0,"Lula Propostas"
"104",2022-04-14,19,"Lula Propostas"
"105",2022-04-15,0,"Lula Propostas"
"106",2022-04-16,0,"Lula Propostas"
"107",2022-04-17,24,"Lula Propostas"
"108",2022-04-18,18,"Lula Propostas"
"109",2022-04-19,33,"Lula Propostas"
"110",2022-04-20,0,"Lula Propostas"
"111",2022-04-21,23,"Lula Propostas"
"112",2022-04-22,21,"Lula Propostas"
"113",2022-04-23,0,"Lula Propostas"
"114",2022-04-24,0,"Lula Propostas"
"115",2022-04-25,0,"Lula Propostas"
"116",2022-04-26,0,"Lula Propostas"
"117",2022-04-27,35,"Lula Propostas"
"118",2022-04-28,0,"Lula Propostas"
"119",2022-04-29,0,"Lula Propostas"
"120",2022-04-30,23,"Lula Propostas"
"121",2022-05-01,0,"Lula Propostas"
"122",2022-05-02,19,"Lula Propostas"
"123",2022-05-03,0,"Lula Propostas"
"124",2022-05-04,0,"Lula Propostas"
"125",2022-05-05,0,"Lula Propostas"
"126",2022-05-06,100,"Lula Propostas"
"127",2022-05-07,0,"Lula Propostas"
"128",2022-05-08,24,"Lula Propostas"
"129",2022-05-09,19,"Lula Propostas"
"130",2022-05-10,51,"Lula Propostas"
"131",2022-05-11,18,"Lula Propostas"
"132",2022-05-12,0,"Lula Propostas"
"133",2022-05-13,41,"Lula Propostas"
"134",2022-05-14,0,"Lula Propostas"
"135",2022-05-15,24,"Lula Propostas"
"136",2022-05-16,38,"Lula Propostas"
"137",2022-05-17,17,"Lula Propostas"
"138",2022-05-18,0,"Lula Propostas"
"139",2022-05-19,18,"Lula Propostas"
"140",2022-05-20,0,"Lula Propostas"
"141",2022-05-21,44,"Lula Propostas"
"142",2022-05-22,24,"Lula Propostas"
"143",2022-05-23,0,"Lula Propostas"
"144",2022-05-24,19,"Lula Propostas"
"145",2022-05-25,0,"Lula Propostas"
"146",2022-05-26,38,"Lula Propostas"
"147",2022-05-27,20,"Lula Propostas"
"148",2022-05-28,0,"Lula Propostas"
"149",2022-05-29,23,"Lula Propostas"
"150",2022-05-30,37,"Lula Propostas"
"151",2022-05-31,0,"Lula Propostas"
"152",2022-06-01,18,"Lula Propostas"
"153",2022-06-02,55,"Lula Propostas"
"154",2022-06-03,20,"Lula Propostas"
"155",2022-06-04,0,"Lula Propostas"
"156",2022-06-05,24,"Lula Propostas"
"157",2022-06-06,38,"Lula Propostas"
"158",2022-06-07,57,"Lula Propostas"
"159",2022-06-08,19,"Lula Propostas"
"160",2022-06-09,0,"Lula Propostas"
"161",2022-06-10,40,"Lula Propostas"
"162",2022-06-11,0,"Lula Propostas"
"163",2022-06-12,25,"Lula Propostas"
"164",2022-06-13,39,"Lula Propostas"
"165",2022-06-14,39,"Lula Propostas"
"166",2022-06-15,61,"Lula Propostas"
"167",2022-06-16,0,"Lula Propostas"
"168",2022-06-17,0,"Lula Propostas"
"169",2022-06-18,25,"Lula Propostas"
"170",2022-06-19,24,"Lula Propostas"
"171",2022-06-20,0,"Lula Propostas"
"172",2022-06-21,38,"Lula Propostas"
"173",2022-06-22,0,"Lula Propostas"
"174",2022-06-23,39,"Lula Propostas"
"175",2022-06-24,0,"Lula Propostas"
"176",2022-06-25,49,"Lula Propostas"
"177",2022-06-26,0,"Lula Propostas"
"178",2022-06-27,19,"Lula Propostas"
"179",2022-06-28,0,"Lula Propostas"
"180",2022-06-29,0,"Lula Propostas"
"181",2022-04-01,0,"Gomes Propostas"
"182",2022-04-02,0,"Gomes Propostas"
"183",2022-04-03,0,"Gomes Propostas"
"184",2022-04-04,0,"Gomes Propostas"
"185",2022-04-05,0,"Gomes Propostas"
"186",2022-04-06,0,"Gomes Propostas"
"187",2022-04-07,16,"Gomes Propostas"
"188",2022-04-08,17,"Gomes Propostas"
"189",2022-04-09,0,"Gomes Propostas"
"190",2022-04-10,23,"Gomes Propostas"
"191",2022-04-11,18,"Gomes Propostas"
"192",2022-04-12,0,"Gomes Propostas"
"193",2022-04-13,19,"Gomes Propostas"
"194",2022-04-14,0,"Gomes Propostas"
"195",2022-04-15,0,"Gomes Propostas"
"196",2022-04-16,0,"Gomes Propostas"
"197",2022-04-17,0,"Gomes Propostas"
"198",2022-04-18,0,"Gomes Propostas"
"199",2022-04-19,0,"Gomes Propostas"
"200",2022-04-20,0,"Gomes Propostas"
"201",2022-04-21,0,"Gomes Propostas"
"202",2022-04-22,21,"Gomes Propostas"
"203",2022-04-23,0,"Gomes Propostas"
"204",2022-04-24,0,"Gomes Propostas"
"205",2022-04-25,0,"Gomes Propostas"
"206",2022-04-26,0,"Gomes Propostas"
"207",2022-04-27,0,"Gomes Propostas"
"208",2022-04-28,0,"Gomes Propostas"
"209",2022-04-29,0,"Gomes Propostas"
"210",2022-04-30,23,"Gomes Propostas"
"211",2022-05-01,23,"Gomes Propostas"
"212",2022-05-02,0,"Gomes Propostas"
"213",2022-05-03,0,"Gomes Propostas"
"214",2022-05-04,17,"Gomes Propostas"
"215",2022-05-05,0,"Gomes Propostas"
"216",2022-05-06,0,"Gomes Propostas"
"217",2022-05-07,0,"Gomes Propostas"
"218",2022-05-08,0,"Gomes Propostas"
"219",2022-05-09,0,"Gomes Propostas"
"220",2022-05-10,34,"Gomes Propostas"
"221",2022-05-11,18,"Gomes Propostas"
"222",2022-05-12,0,"Gomes Propostas"
"223",2022-05-13,0,"Gomes Propostas"
"224",2022-05-14,0,"Gomes Propostas"
"225",2022-05-15,24,"Gomes Propostas"
"226",2022-05-16,19,"Gomes Propostas"
"227",2022-05-17,0,"Gomes Propostas"
"228",2022-05-18,0,"Gomes Propostas"
"229",2022-05-19,0,"Gomes Propostas"
"230",2022-05-20,18,"Gomes Propostas"
"231",2022-05-21,0,"Gomes Propostas"
"232",2022-05-22,0,"Gomes Propostas"
"233",2022-05-23,0,"Gomes Propostas"
"234",2022-05-24,0,"Gomes Propostas"
"235",2022-05-25,0,"Gomes Propostas"
"236",2022-05-26,0,"Gomes Propostas"
"237",2022-05-27,20,"Gomes Propostas"
"238",2022-05-28,23,"Gomes Propostas"
"239",2022-05-29,23,"Gomes Propostas"
"240",2022-05-30,0,"Gomes Propostas"
"241",2022-05-31,0,"Gomes Propostas"
"242",2022-06-01,18,"Gomes Propostas"
"243",2022-06-02,0,"Gomes Propostas"
"244",2022-06-03,0,"Gomes Propostas"
"245",2022-06-04,24,"Gomes Propostas"
"246",2022-06-05,0,"Gomes Propostas"
"247",2022-06-06,0,"Gomes Propostas"
"248",2022-06-07,0,"Gomes Propostas"
"249",2022-06-08,37,"Gomes Propostas"
"250",2022-06-09,0,"Gomes Propostas"
"251",2022-06-10,0,"Gomes Propostas"
